hotel_id,hotel_name,hotel_address,hotel_url,hotel_email,hotel_phone_number,hotel_star,country_code
1,Mariot Hotel Rome,"Via della Conciliazione, 00193 Rome, Italy",https://www.marriott.com/search/submitSearch.mi?,mariotrome@gmail.com,+39 390 205 422,5,380
2,Mariot Hotel Venice,"Calle Varisco, Venice, Italy",https://www.marriott.com/search/VeniceSearch.mi,mariotVenice@gmail.com,+39 390 205 498,5,380
3,Hilton La Turbie,"Rue Bellevue 33/40, La Turbie, Monaco",https://www.Hilton.com/search/LaturbieSearch.mi,HiltonLaturbie@gmail.com,+377 380 404 498,3,492
4,Hilton Beausoleil,"Av. de Villaine 8/10, Beausoleil, Monaco",https://www.Hilton.com/search/BeausoleilSearch.mi,HiltonBeausoleil@yahoo.com,+377 580 496 397,5,492
5,Gaylord Hotel Amsterdam,"Geuzenveld-Slotermeer8/20, Amsterdam, Netherlands",https://www.GayLordHotelAmsterdam.com/search/Amsterdam////.mi,GaylordHotelAmsterdam@gmail.com,+31 549 777 390,4,528
6,Gaylord Hotel Utrecht,"Oude Zederik 18/9, Utrecht, Netherlands",https://www.GayLordHotelUtrecht.com/searchhotel/Utrecht////.mi,GaylordHotelUtrecht@gmail.com,+31 643 797 339,5,528
7,Sheraton Sur,"Al Aise Street, Sur",https://www.booking.com/hotel/om/sur-plaza.en-us.html?aid=1250365;label=huno.1;sid=15575652b00f6776c3ca5c7fe37a3fba;all_sr_blocks=7435502_344679873_0_0_0;checkin=2022-05-17;checkout=2022-05-18;dest_id=-789047;dest_type=city;dist=0;group_adults=2;group_children=0;hapos=1;highlighted_blocks=7435502_344679873_0_0_0;hpos=1;matching_block_id=7435502_344679873_0_0_0;no_rooms=1;req_adults=2;req_children=0;room1=A%2CA;sb_price_type=total;sr_order=popularity;sr_pri_blocks=7435502_344679873_0_0_0__1852;srepoch=1652181835;srpvid=b27550252413005a;type=total;ucfs=1&#hotelTmpl ,sheratonsur@gmail.com,+968 1505 4929,3,512
8,Sheraton Lima,"Paseo de la República 170, Lima 1 Lima, Peru",https://www.booking.com/hotel/pe/sheraton-lima-convention-center.en-us.html?aid=1250365;label=huno.1;sid=15575652b00f6776c3ca5c7fe37a3fba;all_sr_blocks=23840204_270635248_2_1_0;checkin=2022-05-17;checkout=2022-05-18;dest_id=-352647;dest_type=city;dist=0;group_adults=2;group_children=0;hapos=1;highlighted_blocks=23840204_270635248_2_1_0;hpos=1;matching_block_id=23840204_270635248_2_1_0;no_rooms=1;req_adults=2;req_children=0;room1=A%2CA;sb_price_type=total;sr_order=popularity;sr_pri_blocks=23840204_270635248_2_1_0__8900;srepoch=1652182831;srpvid=b140521767ad033f;type=total;ucfs=1&#hotelTmpl ,sheratonlima@gmail.com,+51 974 426 649,5,604
9,Accor Khasab,"Khasab, Oman, 811 Khasab, Oman",https://www.booking.com/hotel/om/atana-musandam.en-us.html?aid=1250365;label=huno.1;sid=15575652b00f6776c3ca5c7fe37a3fba;all_sr_blocks=107668601_264053326_3_2_0;checkin=2022-05-17;checkout=2022-05-18;dest_id=-787654;dest_type=city;dist=0;group_adults=2;group_children=0;hapos=1;highlighted_blocks=107668601_264053326_3_2_0;hpos=1;matching_block_id=107668601_264053326_3_2_0;no_rooms=1;req_adults=2;req_children=0;room1=A%2CA;sb_price_type=total;sr_order=popularity;sr_pri_blocks=107668601_264053326_3_2_0__5400;srepoch=1652182537;srpvid=42cc5184b82f0463;type=total;ucfs=1&#hotelTmpl ,sheratonkhasab@gmail.com,+968 7725 6393,4,512
10,Accor Tarapoto,"Jr. Pedro de Urzua 515, TARA 01 Tarapoto, Peru",https://www.booking.com/hotel/pe/rio-cumbaza.en-us.html?aid=1250365;label=huno.1;sid=15575652b00f6776c3ca5c7fe37a3fba;all_sr_blocks=38960502_340995254_2_1_0;checkin=2022-05-17;checkout=2022-05-18;dest_id=-365359;dest_type=city;dist=0;group_adults=2;group_children=0;hapos=1;highlighted_blocks=38960502_340995254_2_1_0;hpos=1;matching_block_id=38960502_340995254_2_1_0;no_rooms=1;req_adults=2;req_children=0;room1=A%2CA;sb_price_type=total;sr_order=popularity;sr_pri_blocks=38960502_340995254_2_1_0__6500;srepoch=1652183107;srpvid=9a0952a1416801e2;type=total;ucfs=1&#hotelTmpl ,accortarapoto@gmail.com,+51 969 711 013,3,604
